t mart.s0 mart.sn aust.s0 aust.sn
3.031516e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.036518e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.041521e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.046523e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.051526e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.056528e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.061531e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.066533e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.071536e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.076538e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.081541e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.086543e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.091546e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.096548e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.101551e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.106553e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.111556e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.116558e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.121561e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.126563e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.131566e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.136568e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.141571e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.146573e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.151576e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.156578e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.161581e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.166583e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
