t mart aust
2.750138e+01 8.684149e-05 5.977667e-02
2.755138e+01 8.678518e-05 5.977669e-02
2.760138e+01 8.672902e-05 5.977670e-02
2.765138e+01 8.667301e-05 5.977671e-02
2.770139e+01 8.661715e-05 5.977673e-02
2.775139e+01 8.656145e-05 5.977674e-02
2.780139e+01 8.650589e-05 5.977675e-02
2.785139e+01 8.645048e-05 5.977677e-02
2.790140e+01 8.639522e-05 5.977678e-02
2.795140e+01 8.634010e-05 5.977679e-02
2.800140e+01 8.628513e-05 5.977680e-02
2.805140e+01 8.623031e-05 5.977681e-02
2.810141e+01 8.617564e-05 5.977683e-02
2.815141e+01 8.612111e-05 5.977684e-02
2.820141e+01 8.606671e-05 5.977685e-02
2.825141e+01 8.601241e-05 5.977686e-02
2.830142e+01 8.595823e-05 5.977687e-02
2.835142e+01 8.590418e-05 5.977688e-02
2.840142e+01 8.585025e-05 5.977689e-02
2.845142e+01 8.579645e-05 5.977690e-02
2.850143e+01 8.574278e-05 5.977691e-02
2.855143e+01 8.568924e-05 5.977692e-02
2.860143e+01 8.563584e-05 5.977693e-02
2.865143e+01 8.558256e-05 5.977694e-02
2.870144e+01 8.552942e-05 5.977694e-02
2.875144e+01 8.547641e-05 5.977695e-02
2.880144e+01 8.542353e-05 5.977696e-02
2.885144e+01 8.537079e-05 5.977697e-02
2.890145e+01 8.531818e-05 5.977698e-02
2.895145e+01 8.526570e-05 5.977699e-02
2.900145e+01 8.521336e-05 5.977699e-02
